PR number,label
7,In progress
8,In progress
31,In progress
49,In progress
60,area: Networking
81,In progress
82,In progress
91,In progress
92,In progress
97,In progress
102,In progress
103,In progress
104,In progress
110,Enhancement
119,area: Networking
133,area: ARM
146,RFC
180,Enhancement
186,platform: STM32
187,platform: STM32
277,Enhancement
351,In progress
393,area: ARM
393,area: DMA
393,area: API
393,DNM
403,area: Sensors
542,area: USB
561,area: Networking
662,area: Networking
747,Feature
766,bug
816,Feature
829,area: Sensors
852,area: USB
860,Feature
868,area: Networking
928,DNM
980,area: Networking
1016,area: Sensors
1043,area: ARM
1043,platform: Microchip SAM
1049,area: Networking
1055,area: Networking
1101,platform: NXP
1123,bug
1135,area: Networking
1167,area: API
1188,bug
1201,bug
1206,bug
1207,bug
1215,bug
1231,bug
1232,area: Networking
1233,Enhancement
1255,area: Networking
1258,bug
1260,RFC
1260,area: API
1271,area: Networking
1273,area: Networking
1298,bug
1300,area: Networking
1305,bug
1309,Feature
1311,area: Networking
1330,area: Networking
1330,RFC
1331,bug
1337,bug
1338,bug
1343,bug
1344,area: Memory Protection
1345,priority: low
1345,area: Networking
1355,bug
1361,bug
1369,area: Networking
1374,area: Networking
1384,area: USB
1390,bug
1393,In progress
1446,bug
1461,bug
1467,In progress
1467,area: Memory Management
1486,bug
1502,area: C Library
1502,RFC
1504,bug
1505,bug
1516,In progress
1516,area: Memory Protection
1528,area: Networking
1530,area: Networking
1534,area: Memory Protection
1540,area: Networking
1545,platform: nRF
1548,area: Networking
1553,area: Networking
1563,area: GPIO
1563,area: Tests
1564,area: Networking
1565,area: Networking
1575,area: Networking
1576,RFC
1576,EXT
1578,area: ARM
1578,platform: STM32
1584,area: Devicetree
1586,area: Networking
1592,Enhancement
4073,area: USB
4083,area: Documentation
4085,area: Networking
4089,area: Networking
4090,area: Networking
4093,area: Networking
4094,area: Networking
4095,area: Drivers
4095,area: Networking
4103,area: Memory Management
4104,area: Networking
4107,area: Networking
4108,area: Networking
4109,area: Networking
4110,area: Networking
4111,area: Networking
4113,area: Networking
4115,area: Networking
4119,area: Documentation
4123,area: Memory Management
4126,area: Memory Management
4133,area: Networking
4142,area: USB
4144,area: USB
4147,area: USB
4160,area: Documentation
4161,area: Memory Management
4161,area: Memory Protection
4166,area: Networking
4174,RFC
4183,area: Memory Management
4184,area: ARM
4184,platform: STM32
4191,area: Networking
4192,area: Networking
4199,area: USB
4200,area: USB
4205,area: Networking
4206,area: Memory Management
4206,area: Memory Protection
4208,area: Networking
4209,area: Networking
4211,area: Networking
4212,area: USB
4221,area: Networking
4225,area: Memory Protection
4229,area: Networking
4230,area: Networking
4243,area: Networking
4251,area: Memory Protection
4255,area: Security
4255,area: Memory Protection
4279,area: Memory Protection
4280,area: Memory Protection
4281,area: Memory Protection
4282,area: Memory Protection
4291,platform: STM32
4299,area: Memory Protection
4302,area: Security
4303,area: Memory Protection
4307,area: Networking
4308,area: Networking
4317,area: ARM
4328,area: Networking
4330,area: Networking
4331,area: Networking
4334,area: Networking
4335,area: Memory Protection
4336,area: Memory Protection
4337,area: Memory Protection
4338,area: Memory Protection
4339,area: Test Framework
4340,area: Memory Protection
4346,area: Networking
4348,area: Networking
4355,area: Networking
4356,area: Networking
4357,area: Networking
4360,area: Memory Protection
4361,area: Memory Protection
4364,area: Memory Protection
4365,area: Networking
4367,area: Kernel
4367,area: Networking
4367,area: Memory Protection
4369,area: Networking
4370,area: Networking
4372,bug
4372,area: Kernel
4373,area: USB
4376,area: USB
4376,area: Devicetree
4376,platform: STM32
4380,area: Networking
4384,area: Memory Protection
4388,area: Memory Protection
4390,area: Networking
4391,area: Networking
4402,area: Networking
4405,area: Networking
4409,area: Memory Protection
4410,area: Networking
4411,area: Networking
4413,area: Networking
4415,RFC
4422,area: Networking
4430,area: USB
4431,area: Networking
4432,area: Networking
4433,area: Networking
4435,area: Networking
4436,area: Networking
4440,area: I2C
4440,area: Devicetree
4443,area: Networking
4446,area: Networking
4447,area: Networking
4448,area: Networking
4449,area: Networking
4450,area: Networking
4460,area: Networking
4461,area: Networking
4464,area: Networking
4473,area: Networking
4473,platform: NXP
4477,area: Networking
4482,area: Memory Protection
4484,area: Networking
4485,area: Networking
4486,area: Networking
4493,platform: STM32
4494,area: Networking
4497,area: Networking
4501,area: Build System
4501,area: ARM
4501,area: X86
4501,area: ARC
4501,area: NIOS2
4501,area: Debugging
4501,area: Xtensa
4501,area: Flashing
4501,area: RISCV
4501,area: QEMU
4501,platform: STM32
4501,platform: nRF
4501,platform: NXP
4507,area: Networking
4515,area: Networking
4516,area: Networking
4517,area: Networking
4518,area: Networking
4519,area: Networking
4520,area: Networking
4522,area: Networking
4524,area: Networking
4529,bug
4529,area: Bluetooth
4530,bug
4530,area: Bluetooth
4532,area: ARM
4532,platform: NXP
4535,area: Networking
4536,area: ARM
4536,platform: nRF
4537,area: Networking
4543,area: Networking
4551,area: Networking
4556,area: Networking
4557,area: Networking
4560,area: Networking
4564,area: Networking
4570,area: Networking
4571,area: Networking
4572,platform: STM32
4575,area: Networking
4577,area: Networking
4599,area: Networking
4601,area: I2C
4601,area: ARM
4601,platform: STM32
4602,area: Networking
4605,area: Networking
4610,platform: STM32
4614,platform: STM32
4621,area: Networking
4622,area: Networking
4625,area: Networking
4627,area: Networking
4631,bug
4631,area: Bluetooth
4641,area: Networking
4646,area: ARM
4646,platform: STM32
4647,area: Networking
4650,area: Networking
4657,area: Networking
4661,area: USB
4661,RFC
4662,area: Networking
4669,bug
4669,area: Bluetooth
4673,area: Networking
4674,area: Networking
4685,bug
4685,area: Bluetooth
4686,area: Networking
4689,area: Networking
4693,area: Networking
4702,platform: STM32
4710,area: Networking
4711,area: Networking
4711,EXT
4712,area: Networking
4716,area: USB
4716,area: Samples
4718,platform: NXP
4728,area: Devicetree
4737,area: Networking
4741,area: X86
4741,area: Devicetree
4742,area: Networking
4761,area: Networking
4774,area: ARM
4803,area: Networking
4818,area: Networking
4821,area: Networking
4833,area: Drivers
4833,area: USB
4840,area: Networking
4840,area: API
4843,area: Build System
4843,area: Boards
4843,area: Devicetree
4859,area: Networking
4863,area: Networking
4880,area: Networking
