PR number,open,close,days_to_close
56355,2023-03-30T09:14:27.000Z,null,null
56354,2023-03-30T08:45:44.000Z,null,null
56353,2023-03-30T08:42:47.000Z,null,null
56351,2023-03-30T08:37:24.000Z,null,null
56350,2023-03-30T08:32:08.000Z,null,null
56348,2023-03-30T07:49:22.000Z,null,null
56347,2023-03-30T07:47:37.000Z,null,null
56346,2023-03-30T07:20:53.000Z,null,null
56345,2023-03-30T07:15:57.000Z,null,null
56344,2023-03-30T07:12:47.000Z,null,null
56343,2023-03-30T06:44:08.000Z,null,null
56341,2023-03-30T05:33:58.000Z,null,null
56340,2023-03-29T22:09:26.000Z,null,null
56339,2023-03-29T21:57:50.000Z,null,null
56338,2023-03-29T20:54:44.000Z,null,null
56337,2023-03-29T20:52:25.000Z,null,null
56335,2023-03-29T19:38:20.000Z,null,null
56334,2023-03-29T18:25:31.000Z,null,null
56333,2023-03-29T17:50:30.000Z,null,null
56331,2023-03-29T16:57:31.000Z,null,null
56330,2023-03-29T16:57:12.000Z,null,null
56329,2023-03-29T15:50:27.000Z,null,null
56328,2023-03-29T14:23:33.000Z,null,null
56327,2023-03-29T14:12:29.000Z,null,null
56325,2023-03-29T13:58:36.000Z,null,null
56324,2023-03-29T13:28:17.000Z,null,null
56323,2023-03-29T12:44:37.000Z,null,null
56322,2023-03-29T12:40:42.000Z,null,null
56321,2023-03-29T11:43:32.000Z,null,null
56320,2023-03-29T10:46:13.000Z,2023-03-29T13:46:20.000Z,0.12508101851851852
56319,2023-03-29T10:29:53.000Z,null,null
56318,2023-03-29T10:27:27.000Z,null,null
56316,2023-03-29T10:14:06.000Z,2023-03-29T15:54:48.000Z,0.2365972222222222
56315,2023-03-29T10:00:48.000Z,null,null
56314,2023-03-29T09:52:19.000Z,null,null
56313,2023-03-29T09:36:40.000Z,null,null
56312,2023-03-29T08:35:32.000Z,null,null
56311,2023-03-29T07:51:39.000Z,2023-03-29T09:30:37.000Z,0.06872685185185186
56310,2023-03-29T06:39:53.000Z,null,null
56309,2023-03-29T04:28:19.000Z,null,null
56308,2023-03-29T01:31:44.000Z,null,null
56307,2023-03-28T23:07:05.000Z,null,null
56306,2023-03-28T21:46:29.000Z,null,null
56305,2023-03-28T21:11:49.000Z,2023-03-28T22:14:38.000Z,0.04362268518518519
56302,2023-03-28T18:10:10.000Z,null,null
56300,2023-03-28T16:30:37.000Z,null,null
56299,2023-03-28T16:20:11.000Z,null,null
56298,2023-03-28T15:57:38.000Z,2023-03-29T08:40:30.000Z,0.6964351851851852
56297,2023-03-28T15:47:39.000Z,2023-03-29T08:04:40.000Z,0.6784837962962963
56296,2023-03-28T15:27:21.000Z,null,null
56295,2023-03-28T15:05:46.000Z,null,null
56293,2023-03-28T14:42:17.000Z,null,null
56292,2023-03-28T14:24:41.000Z,null,null
56290,2023-03-28T14:14:28.000Z,2023-03-29T09:48:14.000Z,0.8151157407407408
56289,2023-03-28T13:43:41.000Z,null,null
56288,2023-03-28T13:42:51.000Z,2023-03-28T14:40:44.000Z,0.04019675925925926
56287,2023-03-28T13:22:03.000Z,null,null
56286,2023-03-28T12:01:28.000Z,null,null
56285,2023-03-28T11:58:35.000Z,2023-03-28T21:45:43.000Z,0.4077314814814815
56283,2023-03-28T11:43:46.000Z,null,null
56282,2023-03-28T11:39:27.000Z,null,null
56279,2023-03-28T09:03:12.000Z,null,null
56278,2023-03-28T09:00:38.000Z,2023-03-28T13:05:02.000Z,0.16972222222222222
56277,2023-03-28T08:38:00.000Z,null,null
56276,2023-03-28T08:27:10.000Z,2023-03-28T13:05:55.000Z,0.1935763888888889
56275,2023-03-28T08:21:30.000Z,2023-03-28T13:06:07.000Z,0.19765046296296296
56274,2023-03-28T08:15:40.000Z,null,null
56273,2023-03-28T07:58:54.000Z,2023-03-28T15:44:22.000Z,0.3232407407407407
56272,2023-03-28T07:50:23.000Z,null,null
56271,2023-03-28T07:41:06.000Z,null,null
56270,2023-03-28T06:44:32.000Z,null,null
56269,2023-03-28T06:24:57.000Z,2023-03-28T13:06:16.000Z,0.27869212962962964
56267,2023-03-28T03:11:25.000Z,null,null
56266,2023-03-28T01:45:44.000Z,2023-03-29T13:46:42.000Z,1.5006712962962963
56265,2023-03-27T22:47:48.000Z,2023-03-28T08:23:47.000Z,0.39998842592592593
56263,2023-03-27T20:53:09.000Z,null,null
56260,2023-03-27T17:22:20.000Z,null,null
56259,2023-03-27T17:08:45.000Z,null,null
56258,2023-03-27T16:42:30.000Z,null,null
56257,2023-03-27T16:27:00.000Z,null,null
56256,2023-03-27T16:02:28.000Z,null,null
56255,2023-03-27T15:43:39.000Z,null,null
56252,2023-03-27T14:47:30.000Z,null,null
56251,2023-03-27T14:41:29.000Z,2023-03-30T07:51:05.000Z,2.715
56250,2023-03-27T13:53:48.000Z,null,null
56249,2023-03-27T13:44:56.000Z,2023-03-27T16:00:20.000Z,0.09402777777777778
56247,2023-03-27T13:36:26.000Z,2023-03-28T07:56:57.000Z,0.7642476851851852
56245,2023-03-27T13:28:23.000Z,2023-03-27T14:12:28.000Z,0.030613425925925926
56244,2023-03-27T13:28:07.000Z,null,null
56242,2023-03-27T11:51:53.000Z,null,null
56241,2023-03-27T11:16:51.000Z,2023-03-27T22:16:00.000Z,0.45774305555555556
56240,2023-03-27T10:06:39.000Z,null,null
56239,2023-03-27T09:45:22.000Z,null,null
56238,2023-03-27T09:35:37.000Z,2023-03-27T22:15:33.000Z,0.5277314814814815
56237,2023-03-27T09:17:51.000Z,2023-03-27T14:44:40.000Z,0.22695601851851852
56236,2023-03-27T08:30:48.000Z,null,null
56234,2023-03-27T08:15:56.000Z,null,null
56233,2023-03-27T08:00:19.000Z,2023-03-29T23:59:08.000Z,2.6658449074074073
56231,2023-03-27T07:51:10.000Z,2023-03-28T16:34:14.000Z,1.3632407407407408
56229,2023-03-27T07:29:56.000Z,2023-03-27T13:20:48.000Z,0.2436574074074074
56228,2023-03-27T06:54:00.000Z,null,null
56227,2023-03-26T23:04:59.000Z,null,null
56226,2023-03-26T16:37:19.000Z,null,null
56225,2023-03-26T15:25:44.000Z,2023-03-28T13:06:25.000Z,1.9032523148148148
56223,2023-03-26T13:59:06.000Z,null,null
56222,2023-03-26T06:41:49.000Z,2023-03-28T21:36:33.000Z,2.6213425925925926
56220,2023-03-26T04:15:34.000Z,2023-03-28T21:36:16.000Z,2.7227083333333333
56219,2023-03-26T02:22:42.000Z,null,null
56218,2023-03-25T19:16:36.000Z,null,null
56217,2023-03-25T18:48:25.000Z,null,null
56216,2023-03-25T18:24:09.000Z,2023-03-27T15:50:05.000Z,1.9346759259259259
56214,2023-03-25T15:03:58.000Z,2023-03-29T07:03:00.000Z,3.707662037037037
56213,2023-03-25T14:50:43.000Z,2023-03-28T16:15:59.000Z,3.1008796296296297
56211,2023-03-25T04:47:28.000Z,null,null
56210,2023-03-25T01:06:57.000Z,null,null
56209,2023-03-24T23:16:29.000Z,2023-03-28T20:34:41.000Z,3.9293055555555556
56207,2023-03-24T22:10:48.000Z,null,null
56206,2023-03-24T19:20:55.000Z,2023-03-27T07:49:41.000Z,2.5616435185185185
56205,2023-03-24T18:13:59.000Z,null,null
56204,2023-03-24T18:02:49.000Z,null,null
56202,2023-03-24T17:16:11.000Z,null,null
56199,2023-03-24T16:08:44.000Z,null,null
56198,2023-03-24T15:50:04.000Z,2023-03-27T07:49:49.000Z,2.7081597222222222
56195,2023-03-24T14:09:01.000Z,2023-03-27T13:20:34.000Z,3.008020833333333
56194,2023-03-24T14:05:22.000Z,null,null
56193,2023-03-24T13:27:19.000Z,2023-03-27T07:49:59.000Z,2.8074074074074074
56191,2023-03-24T13:09:27.000Z,null,null
56186,2023-03-24T11:44:32.000Z,2023-03-24T13:36:48.000Z,0.07796296296296296
56185,2023-03-24T11:30:42.000Z,null,null
56184,2023-03-24T11:28:31.000Z,2023-03-24T15:28:21.000Z,0.16655092592592594
56183,2023-03-24T11:25:52.000Z,2023-03-28T08:33:25.000Z,3.9219097222222223
56182,2023-03-24T11:24:53.000Z,2023-03-24T17:37:38.000Z,0.25885416666666666
56180,2023-03-24T11:18:29.000Z,2023-03-25T11:05:54.000Z,0.9912615740740741
56179,2023-03-24T10:20:51.000Z,null,null
56178,2023-03-24T10:10:57.000Z,2023-03-29T07:03:38.000Z,4.911585648148148
56177,2023-03-24T08:43:21.000Z,2023-03-24T17:37:07.000Z,0.3706712962962963
56176,2023-03-24T08:38:22.000Z,null,null
56175,2023-03-24T08:35:15.000Z,2023-03-28T13:06:44.000Z,4.230196759259259
56174,2023-03-24T08:33:15.000Z,2023-03-29T13:28:58.000Z,5.247025462962963
56173,2023-03-24T08:32:47.000Z,2023-03-27T13:20:04.000Z,3.2411689814814815
56172,2023-03-24T08:03:25.000Z,null,null
56170,2023-03-24T05:32:04.000Z,null,null
56169,2023-03-24T04:36:50.000Z,null,null
56168,2023-03-24T02:44:12.000Z,null,null
56167,2023-03-23T20:40:59.000Z,2023-03-24T10:33:55.000Z,0.5784259259259259
56166,2023-03-23T18:32:09.000Z,null,null
56164,2023-03-23T18:01:39.000Z,null,null
56161,2023-03-23T16:39:19.000Z,null,null
56160,2023-03-23T16:28:11.000Z,2023-03-23T16:50:35.000Z,0.015555555555555555
56159,2023-03-23T16:15:49.000Z,2023-03-24T08:28:28.000Z,0.6754513888888889
56158,2023-03-23T16:05:57.000Z,2023-03-24T09:15:19.000Z,0.714837962962963
56156,2023-03-23T14:47:38.000Z,2023-03-29T12:41:18.000Z,5.953935185185185
56152,2023-03-23T13:44:46.000Z,2023-03-29T15:53:51.000Z,6.13130787037037
56151,2023-03-23T13:43:15.000Z,2023-03-25T11:49:18.000Z,1.9208680555555555
56149,2023-03-23T13:28:20.000Z,2023-03-23T13:38:27.000Z,0.007025462962962963
56148,2023-03-23T13:17:21.000Z,2023-03-23T21:32:55.000Z,0.34414351851851854
56147,2023-03-23T13:14:40.000Z,2023-03-28T13:06:51.000Z,5.036238425925926
56146,2023-03-23T11:59:27.000Z,2023-03-27T09:26:41.000Z,3.9355787037037038
56145,2023-03-23T11:55:00.000Z,null,null
56144,2023-03-23T11:50:53.000Z,null,null
56143,2023-03-23T11:38:34.000Z,2023-03-25T08:07:59.000Z,1.853761574074074
56142,2023-03-23T11:23:52.000Z,2023-03-28T13:07:10.000Z,5.113402777777778
56141,2023-03-23T11:20:03.000Z,null,null
56140,2023-03-23T11:17:55.000Z,null,null
56137,2023-03-23T09:33:10.000Z,2023-03-23T20:31:09.000Z,0.4569328703703704
56135,2023-03-23T08:36:34.000Z,null,null
56132,2023-03-22T22:58:05.000Z,2023-03-28T00:13:23.000Z,5.093958333333333
56131,2023-03-22T22:28:01.000Z,2023-03-29T15:26:56.000Z,6.7492476851851855
56130,2023-03-22T21:30:45.000Z,null,null
56129,2023-03-22T21:09:29.000Z,2023-03-24T08:04:14.000Z,1.4546875
56128,2023-03-22T19:26:11.000Z,null,null
56127,2023-03-22T19:18:40.000Z,2023-03-23T08:24:18.000Z,0.5455787037037036
56126,2023-03-22T18:46:18.000Z,null,null
56125,2023-03-22T18:33:54.000Z,null,null
56124,2023-03-22T18:03:35.000Z,2023-03-29T07:03:48.000Z,6.583483796296297
56123,2023-03-22T17:15:24.000Z,2023-03-23T11:56:20.000Z,0.778425925925926
56121,2023-03-22T16:04:18.000Z,2023-03-24T08:17:08.000Z,1.6755787037037038
56120,2023-03-22T16:03:34.000Z,null,null
56119,2023-03-22T15:54:24.000Z,null,null
56118,2023-03-22T15:29:15.000Z,2023-03-22T20:21:17.000Z,0.2028009259259259
56116,2023-03-22T15:24:18.000Z,2023-03-24T17:36:32.000Z,2.0918287037037038
56115,2023-03-22T15:16:29.000Z,null,null
56114,2023-03-22T14:26:17.000Z,2023-03-22T20:21:06.000Z,0.24640046296296297
56113,2023-03-22T14:02:58.000Z,null,null
56112,2023-03-22T13:58:20.000Z,2023-03-27T13:19:39.000Z,5.014803240740741
56109,2023-03-22T13:46:01.000Z,null,null
56108,2023-03-22T13:08:37.000Z,null,null
56107,2023-03-22T12:32:37.000Z,2023-03-23T14:44:17.000Z,1.0914351851851851
56106,2023-03-22T12:22:44.000Z,2023-03-22T20:20:44.000Z,0.33194444444444443
